gene_id	gene_name	MDA1-D	MDA1-V	MDA2-D	MDA2-V	MDA3-D	MDA3-V	MDA4-D	MDA4-V	MDA5-D	MDA5-V	MDA6-D	MDA6-V
ENSG00000000419	DPM1	61.10181997034864	58.696383383563614	40.60185030474281	27.136395514093813	48.2237041196942	55.99252946192477	53.377914661325825	50.73656706433358	50.51581610292807	93.3976766502261	51.31835963873294	59.833008755995486
ENSG00000000457	SCYL3	37.999092989994956	61.572476053204625	29.902360486102978	44.15164891752561	40.71906850816782	62.075580629643405	36.47680896239789	54.265873878545555	42.52689310901452	47.30246608254694	41.0447132970624	53.3993519005121
ENSG00000000460	C1orf112	25.76991297306602	35.14555126147703	31.940122239731014	34.03050680686359	34.327287607095926	39.87777987726662	34.95661297048208	38.49748290407767	28.56645191763025	35.485995437022844	35.359297360409776	39.03085158993254
ENSG00000001036	FUCA2	72.07098687401556	63.72578103623428	86.88795965214962	82.54598148949349	71.5936530392383	64.06769095357465	69.69392473035886	65.77580532792076	68.95489594241539	90.25149561147974	62.48970323355916	58.54627738489881
ENSG00000001084	GCLC	63.64490348742753	54.92644327481323	37.737164199908186	30.106730698744624	54.77699162746282	47.97072806823732	49.825235049520245	44.65411311802458	71.88658859260609	39.24165759327518	57.40275213234366	52.75598621496376
ENSG00000001167	NFYA	62.831116761962285	74.44713172096935	54.11324382282112	59.37003288826741	64.23169110853944	69.72386133759373	66.18510536067434	73.69412189826814	70.28638310806765	51.21690063075462	72.81322164484946	73.87982622380088
ENSG00000001460	STPG1	7.8666050128306795	7.46880609498398	8.391049062980182	10.671204181893648	7.552003273561104	8.181881687574775	6.052713412705804	6.156630213946911	6.536391540474718	7.06061558695403	6.533241120188548	5.575835941418934
ENSG00000001461	NIPAL3	56.710762430859106	50.5246662633501	44.436469500190746	40.55791005214562	46.29760942852298	41.946728742263794	47.32520124862002	44.0666370783323	58.53136884015466	37.924651577055776	61.62492154635253	49.59277159435109
ENSG00000001497	LAS1L	65.18770748778871	60.47323644648319	83.7074813782781	72.09480213609248	64.87372267226317	52.778828628639964	59.62799916357638	53.147295762565804	62.45885249786953	65.08204730150891	60.49482044876877	61.97756104115661
ENSG00000001561	ENPP4	12.545878684255825	14.93761218996796	10.782046914259482	7.4808441687501865	13.86788177643277	13.233304294686159	14.210718447222323	9.791267328204725	13.314871656522573	11.85305414597464	12.767249822658536	12.00949279690232
ENSG00000001617	SEMA3F	188.39162694520368	244.4931744885171	276.07769472713943	475.18028793463196	212.35550654364746	255.9150298278823	218.59944673134586	264.1046009247949	202.9509225221471	244.41436651005114	189.26450420698885	262.0642892466899
ENSG00000001629	ANKIB1	87.8550585700185	102.06364458024478	55.48919541648185	52.365909181251304	90.35010581554447	89.64496457690623	83.3783202721285	94.90853444271171	99.17561979312875	49.6072266109309	105.52929931541196	89.64228551973517
ENSG00000001630	CYP51A1	6.272939342127913	6.05334687537008	6.721861883785199	6.087353588296721	7.590239820022874	6.225344762285155	5.394809780889956	5.081074333197149	8.957277296206096	2.1218430261312626	5.934776284751429	4.396332184580313
ENSG00000001631	KRIT1	11.79990751924602	11.995263982387575	3.7664983132699748	5.56149424819928	9.387928198449345	11.44823115084919	9.897502237037623	11.200616413325102	10.530046075512914	11.15723596740539	14.179626834290136	12.00949279690232
ENSG00000002016	RAD52	14.376898816552622	15.299006033273637	3.992515279966377	5.243925079074886	12.098728134171798	11.988235342229126	12.456308762380061	12.856972469679734	16.55563072152831	8.560539105426129	18.452665759311166	16.941963052772916
ENSG00000002330	BAD	36.89166488775767	41.95180197706727	108.97085490122919	139.6424244833368	43.42986844389028	41.69202320798972	48.07082536467799	29.299625716976262	41.84097547822397	65.48446580646484	31.17004351234994	39.888672503996986
ENSG00000002549	LAP3	83.43551849513767	83.71326986332689	71.49670046496172	60.5442320563232	66.70451134464162	55.20991469180892	68.56934812237498	59.378102244150625	75.54616089335336	78.59379735791099	69.62240663057723	66.55403561769047
ENSG00000002586	CD99	53.37084607842883	49.81211806896574	148.37720628033236	175.28644669914652	62.662280619436956	63.889823960366506	67.63249335066921	68.46469502979517	50.27372752735493	97.45844520023593	50.76976687291559	52.32707575793153
ENSG00000002834	LASP1	208.58371007081	316.2997218610663	378.5784192164728	602.4279804128827	220.54497582314582	282.6840123057085	223.2705625172384	317.36316108881755	217.75867372803737	255.26137439363598	203.3782999093809	283.3489706769141
ENSG00000002919	SNX11	29.2285065562933	29.574062843847855	51.609463054028645	59.039995645528435	30.360959280091496	34.57734347966383	36.053119023508486	33.89855431052697	30.261071946642215	39.290679483878904	29.025544518700265	35.1706574766425
ENSG00000003056	M6PR	82.32809039290039	87.81870392327937	120.20403348554137	119.54682348100789	97.13224190736038	79.61326615996673	91.22930361179763	77.14331834343118	92.07435490965004	63.06995477672926	90.26844601176543	82.99417343573568
ENSG00000003147	ICA1	60.71730574256632	62.8825287351877	54.677158410386994	58.96665403603088	57.240680747992045	56.56170384019084	53.50949538768899	63.49488509805489	56.8504671637585	71.26465887764999	56.355438670328695	62.406471498188836
ENSG00000003249	DBNDD1	59.33861539850728	51.67931959271173	91.03837101663444	102.97161973456139	64.03194795538093	55.99252946192477	58.59728347373156	52.8876788258331	65.12182682917404	69.5818178569252	54.16106760705926	42.24768001767423
ENSG00000003393	ALS2	47.159618896315365	52.85384958345518	27.285796799797332	33.18707829764176	47.61477284992244	50.38331596411263	41.05318662530893	48.845072239566754	51.605214693007184	32.193480396474335	49.57283720204135	45.89341890244815
